x y z
1 2.7 -137.5
2 1.7 69.9
3 8.6 -97.6
4 -2.7 32.4
5 10.5 99.4
6 7.7 41.8
7 7.7 -86.6
8 12.5 -51.1
9 19.1 126
10 4.8 104.3
11 12.8 157.2
12 10 -67.9
13 21.4 324.1
14 14.1 69.2
15 16.9 145.1
16 12.2 398.9
17 24.8 210.6
18 23.5 217
19 20.3 207
20 23.3 295.9
21 24.7 289.4
22 23.6 85.9
23 29.5 407.8
24 28.7 612.2
25 27.5 681.9
26 28.1 653.2
27 28.8 575.8
28 33.2 747.8
29 33.8 978.5
30 35.6 1110.8
31 33.3 822.5
32 32.1 829.2
33 38.6 1217.3
34 37.9 1201.5
35 33.9 799.7
36 34.9 1412.1
37 36.7 1282.8
38 33.5 1504.5
39 42.1 1641.6
40 42.4 1782.7
41 46 1842.8
42 45.2 1828.6
43 45.5 1750
44 40.7 1943.3
45 41.4 1706.2
46 47.5 2139.7
47 43.8 2289.9
48 54.6 2337
49 56.3 2562.4
50 52.6 2776
